Nodo;latitude;longitud;Velocidad_Objetivo;Velocidad;CACC;Hora;Distancia_Objetivo;Distancia;;minuto;Segundos;Ellapsed_Seconds;Acceleracion
0;0,341074;0,527634;3,5;2,55;;10:22:48;10;;;0;48;1;2,55
1;0,34108;0,527702;3,5;2,69;-0,44;10:22:55;10;7,63;;0;55;1;2,69
0;0,340926;0,527679;3,5;2,58;;10:22:56;10;;;0;56;9;0,00375
1;0,341063;0,527718;3,5;2,5;-0,37;10:22:56;10;9,39;;0;56;2;-0,19
0;0,340904;0,527679;3,5;2,58;;10:22:57;10;;;0;57;10;0
1;0,341046;0,527725;3,5;2,35;-0,19;10:22:57;10;14,31;;0;57;3;-0,15
0;0,340883;0,527679;3,5;2,63;;10:22:58;10;;;0;58;11;0,05
1;0,341029;0,527733;3,5;2,08;-0,1;10:22:58;10;15,13;;0;58;4;-0,27
0;0,340862;0,527695;3,5;2,71;;10:22:59;10;;;0;59;12;0,08
1;0,341029;0,527733;3,5;1,93;-0,08;10:22:59;10;15,13;;0;59;5;-0,15
0;0,340845;0,52771;3,5;2,99;;10:23:00;10;;;1;00;13;0,28
1;0,34099;0,527718;3,5;1,67;-0,07;10:23:00;10;14,49;;1;00;6;-0,26
0;0,340836;0,527733;3,5;3,3;;10:23:01;10;;;1;01;14;0,31
1;0,340975;0,52771;3,5;1,52;-0,06;10:23:01;10;14,46;;1;01;7;-0,15
0;0,340828;0,527756;3,5;3,18;;10:23:02;10;;;1;02;15;-0,12
1;0,34096;0,527702;3,5;1,85;-0,09;10:23:02;10;14,23;;1;02;8;0,33
0;0,340821;0,527786;3,5;2,95;;10:23:03;10;;;1;03;16;-0,23
1;0,340949;0,527695;3,5;2,11;-0,09;10:23:03;10;15,09;;1;03;9;0,26
0;0,340815;0,527824;3,5;3,06;;10:23:04;10;;;1;04;17;0,11
1;0,34094;0,527695;3,5;1,89;-0,02;10:23:04;10;16,63;;1;04;10;-0,22
0;0,340808;0,527855;3,5;2,94;;10:23:05;10;;;1;05;18;-0,12
1;0,340929;0,527695;3,5;1,69;0,09;10:23:05;10;19,13;;1;05;11;-0,2
0;0,340805;0,527878;3,5;2,88;;10:23:06;10;;;1;06;19;-0,06
1;0,340919;0,527702;3,5;1,77;0,17;10:23:06;10;21,02;;1;06;12;0,08
0;0,340806;0,527908;3,5;2,85;;10:23:07;10;;;1;07;20;-0,03
1;0,340914;0,527718;3,5;2,26;0,16;10:23:07;10;21,54;;1;07;13;0,49
0;0,34081;0,527931;3,5;3,09;;10:23:08;10;;;1;08;21;0,24
1;0,34091;0,527733;3,5;2,47;0,18;10:23:08;10;22,67;;1;08;14;0,21
0;0,340815;0,527954;3,5;3,21;;10:23:09;10;;;1;09;22;0,12
1;0,340909;0,52774;3,5;2,79;0,19;10:23:09;10;23,85;;1;09;15;0,32
0;0,340819;0,527985;3,5;3,3;;10:23:10;10;;;1;10;23;0,09
1;0,340908;0,527756;3,5;3,05;0,19;10:23:10;10;24,34;;1;10;16;0,26
0;0,340819;0,528008;3,5;3,34;;10:23:11;10;;;1;11;24;0,04
